TESIS,TITULO,FECHA,RESUMEN,TIPO ARCHIVO,Idioma,TIPO TT,AUTOR1,AUTOR2,AUTOR3,AUTOR4,DIRECTOR1,DIRECTOR2,PALABRAS CLAVES 1,PALABRAS CLAVES 2,PALABRAS CLAVES 3,PALABRAS CLAVES 4,PALABRAS CLAVES 5,PALABRAS CLAVES 6,PALABRAS CLAVES 7,URL
Sistema_de_informacion_de_la_zona_sur_del_Ecuador_Provincia_de_Zamora_Chinchipe_2012,Sistema de informacion de la zona sur del Ecuador Provincia de Zamora Chinchipe,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Pindo Pineda Daysi Araceli,NULL,NULL,NULL,Gomez AlvaradoHector Fernando,NULL,Zamora Chinchipe,Ecuador,Base de datos,Diseño de sistemas,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=61488.titn.
Sistema_de_informacion_de_la_region_Sur_del_Ecuador_provincia_de_Loja_2012,Sistema de informacion de la region Sur del Ecuador provincia de Loja,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Guaman Coronel Daniel Alejandro,NULL,NULL,NULL,Gomez AlvaradoHector Fernando,NULL,Informacion geografica,Software-diseño,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=61490.titn.
Implementacion_de_VoIP_sobre_IPv6_2012,Implementacion de VoIP sobre IPv6,2012,"Hasta hace poco, la division entre la red de voz y la red de datos en la Universidad Tecnica Particular de Loja era evidente, fundamentalmente en las caracteristicas de cada una de estas redes; las redes de voz que aun existen dentro del campus universitario, estan basadas en conmutacion de circuitos, es decir, los equipos entre los cuales se establece la conexion, deben establecer un camino fisico entre ellos previo a la conexion, camino que permanece activo durante la comunicacion entre los usuarios, mientras que las redes de datos existentes a lo largo del campus universitario y que integran a todos los empleados de la Universidad Tecnica Particular de Loja e incluso estudiantes de la misma, estan basadas en la conmutacion de paquetes, es decir, la informacion se envia en paquetes y cada paquete puede viajar por caminos diferentes y para esto es necesario adoptar protocolos que permitan transmitir y recuperar la informacion.",PDF,es,Trabajo de Fin de Titulacion,Jimenez Samaniego Jefferson Rolando,NULL,NULL,NULL,Cueva Carrion Samanta Patricia,NULL,IPv6,Protocolo IP,VoIP,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=35214.titn.
Implementacion_del_modelo_hidrologico_CatamayoChira_sobre_un_entorno_de_computacion_distribuida_2012,Implementacion del modelo hidrologico CatamayoChira sobre un entorno de computacion distribuida,2012,"El desarrollo del presente proyecto de implementacion surge ante una realidad inevitable en la actualidad como es la falta de poder de computo de un computador secuencia¡ (principio Von Neumann) para ejecutar un problema que demanda altos niveles de procesamiento y tiempos de respuesta inmediatos. Ante esta problematica expuesta se enmarca el modelo hidrologico Catamayo Chira el cual necesita ejecutar un gran numero de simulaciones del modulo SWAT para ello se propone ejecutar el modelo haciendo uso de plataformas distribuidas o paralelas que permitan dar solucion a los requerimientos del problema expuesto, por esta razon se plantea el tema de la manera siguiente: ""Implementacion del Modelo Hidrologico Catarnayo-Chira sobre un entorno de computacion distribuido"", cuyo objetivo general para su implementacion es: Ejecutar un gran numero de simulaciones del modelo hidrologico obteniendo tiempos de respuesta inmediatos."" Para la ejecucion del modelo hidrologico se escogio implementar sobre un cluster paralelo el cual reune componentes hardware y software destinados a este proposito con una integracion total, obteniendo paralelismo a nivel de procesos otorgado por el protocolo de intercambio de mensajes Lam-mpi y paralelismo a nivel de datos brindado por el lenguaje de programacion R, a su vez estos hacen uso de librerias y herramientas que deben ser configuradas para su acoplamiento con el middeware OSCAR encargado de proveer alto Rendimiento. Adicionalmente se debio realizar una modificacion al modulo SWAT en su bloque principal para ajustarlo a las entradas de datos de la cuenca diseñada previamente por los hidrologos; con esto ajustado a las necesidades propias del calculo se construyo un programa integrador en R para la ejecucion de la simulacion utilizando un metodo de correccion de caudal y eventos producidos sobre la cuenca Catamayo-Chira.",PDF,es,Trabajo de Fin de Titulacion,Quezada Alvarez Gloria Susana,NULL,NULL,NULL,Alberca Prieto Greyson Paul,NULL,Chira,Sitios de web,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=35258.titn.
Implementacion_de_un_metodo_de_aprendizaje_en_una_herramienta_multimedia_para_niños_con_dislalia_2012,Implementacion de un metodo de aprendizaje en una herramienta multimedia para niños con dislalia,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Aguilar Aguirre Maria Isabel,Lopez Arrobo Jacqueline Andrea,NULL,NULL,Alberca Prieto Greyson Paul,NULL,Sistema de multimedia,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=34829.titn.
Sistema_de_monitoreo_de_la_dinamica_de_nutrientes_en_los_suelos_de_la_estacion_agroecologica_de_la_UTPL_2012,Sistema de monitoreo de la dinamica de nutrientes en los suelos de la estacion agroecologica de la UTPL,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Tene Morocho Yofre Medardo,NULL,NULL,NULL,Gonzalez Victor,NULL,Nutrientes,Suelos,Estacion Agroecologica UTPL,Monitoreo,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=61530.titn.
Sistema_de_monitoreo_y_control_del_tramite_de_registro_y_licencia_sanitaria_en_el_Centro_de_Transferencia_de_Tecnologia_en_Investigacion_Agroindustrial_CRTTIA_basado_en_web_2012,Sistema de monitoreo y control del tramite de registro y licencia sanitaria en el Centro de Transferencia de Tecnologia en Investigacion Agroindustrial CRTTIA basado en web,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Guarderas Rosales Rodrigo Patricio,Torres Castillo Rolando Marcel,NULL,NULL,Armijos Buitron Veronica Alexandra,NULL,Base de datos,Registro Sanitario,CETTIA,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=61532.titn.
Sistema_de_recorrido_de_rutas_en_una_guia_turisitica_para_la_ciudad_de_Loja_2012,Sistema de recorrido de rutas en una guia turisitica para la ciudad de Loja,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Ludeña Jimenez Wilson Enrique,Tandazo Agila Patricio Favian,NULL,NULL,Guaman Bastidas Franco Olivio,NULL,Guia turistica,Redes,Ingeniero en sistemas informaticos y computacion,Loja,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=61557.titn.
Vuelo_virtual_sobre_un_modelo_de_terreno_aplicando_metodologia_aplicada_creada_para_la_realidad_virtual_no_inmersa_2012,Vuelo virtual sobre un modelo de terreno aplicando metodologia aplicada creada para la realidad virtual no inmersa,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Macas Rojas Margarita Ximena,NULL,NULL,NULL,Gomez AlvaradoHector Fernando,Oñate Valdivieso Fernando Rodrigo,Realidad virtual,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=66848.titn.
Implementacion_de_una_infraestructura_de_clave_publica_PKI_para_la_Universidad_Tecnica_Particular_de_Loja_2012,Implementacion de una infraestructura de clave publica PKI para la Universidad Tecnica Particular de Loja,2012,"Una PKI1 constituye el marco de referencia que permite desarrollar servicios de seguridad que se basan en cifrado, utilizando una clave publica y una privada. Otras infraestructuras que usan cifrado simetrico, se han ensayado y fracasado debido a problemas de manejo, escalabilidad y ciclo de vida que presentan. PKI permite crear las entidades y la confianza que se necesita para los procesos de identificacion, autenticacion, integridad y no repudio mediante la emision y administracion apropiada de Certificados Digitales 2 y Claves Privadas, mismos que ofrecen una solucion infinitamente mas escalable que las infraestructuras de cifrado simetrico, mas informacion en [Anexo 1] La utilizacion de claves (publicas y privadas) y certificados para: firmar correos electronicos, autenticarse ante sitios Web, validar transacciones, etc., solamente tienen exito cuando existe transparencia entre las aplicaciones y los mecanismos que PKI utiliza para garantizar la seguridad.",PDF,es,Trabajo de Fin de Titulacion,Sanchez Ochoa Maritza Ximena,Quizhpe Vacacela Martha Paulina,NULL,NULL,Espinoza Velez Maria Paula,NULL,PKI1,Claves privadas,Ingeniero informatico,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=35197.titn.
Implementacion_de_una_metodologia_y_herramientas_de_pruebas_para_el_grupo_de_desarrollo_de_software_2012,Implementacion de una metodologia y herramientas de pruebas para el grupo de desarrollo de software,2012,"La Universidad Tecnica Particular de Loja dentro del Grupo de Desarrollo de Software -. GDS de la Unidad de Proyectos y Sistemas Informaticos - UPSI ha conformado desde hace dos años aproximadamente el Team de SQA (Software Quality Assurance), encargado del aseguramiento de calidad del Software. Este team ha llevado a cabo alrededor de unas 3000 pruebas hasta marzo del 2006 a 10 largo del desarrollo del Proyecto PHANTOM (Sistema de Gestion Academica - UTPL) y como resultado de dichas pruebas ha detectado mas de 2300 defectos. Para poder Ilevar a cabo todo este proceso, los miembros del Team realizan las pruebas de forma manual, lo que origina una perdida de tiempo debido a la complejidad de la aplicacion, los cambios constantes de la misma y la gran cantidad de informacion que se maneja. Otro de los problemas es que el sistema ha sufrido una evolucion a 10 largo de su vida activa y en cada nueva version o bien se corrigen defectos, o se añaden nuevas funciones, o ambas cosas. En cualquier caso, una nueva version exige la realizacion de nuevas pruebas lo que les demanda mayor tiempo. Como se ha podido comprobar segun la problematica planteada, es necesario automatizar las pruebas, adoptar una metodologia y utilizar una 0 varias herramientas que nos permitan ejecutar las pruebas de una manera rapida y eficaz.",PDF,es,Trabajo de Fin de Titulacion,Cuenca Aguilar Jenny Maria,Hidalgo Ojeda Cesar Augusto,NULL,NULL,Mosquera Vizuete Deisy,NULL,Control de calidad,Automatizacion de procesos,Herramientas,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=35198.titn.
Implementacion_de_una_red_social_de_aprendizaje_global_sobre_la_plataforma_GLESONE_2012,Implementacion de una red social de aprendizaje global sobre la plataforma GLESONE,2012,"En este documento, se analiza el estado actual del proyecto GLESONE, desarrollado en el departamento de Virtualizacion de la UTPL, a la par, se abordan conceptos basicos que se aplicaran de manera que se pueda tener una idea clara de sus objetivos.Una vez identificados los requerimientos se procedera a elaborar la solucion para cada uno de ellos; finalmente se procedera a validar los resultados mediante un plan de pruebas que se elaborara para el efecto.",PDF,es,Trabajo de Fin de Titulacion,Rios Castillo Luis Eduardo,NULL,NULL,NULL,Cabrera Silva Armando Augusto,NULL,Redes Sociales,Informatica,Glesone,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=35204.titn.
Implantacion_de_una_solucion_para_acceder_de_una_forma_segura_a_los_recursos_de_la_Universidad_Tecnica_Particular_de_Loja_2012,Implantacion de una solucion para acceder de una forma segura a los recursos de la Universidad Tecnica Particular de Loja,2012,"En la actualidad, la seguridad de la informacion es una de las prioridades en las organizaciones, especialmente cuando estas comparten recursos a traves del Internet. Para garantizar esta seguridad, esfuerzos conjuntos han desarrollado estandares y protocolos que permiten la transmision de datos de forma segura a traves del Internet, entre ellos se pueden mencionar: Secure HyperText Transfer Protocol (HTTPS), Socket Security Layer (SSL), Security Shell (SSH), entre otros. Sin embargo, el incremento de los usuarios ha obligado a las organizaciones a ampliar el acceso a sus recursos desde cualquier otro lugar fuera de su organizacion, es asi, que para satisfacer esta necesidad surgen las Redes Privadas Virtuales (Virtual Pr/vate Network - VPN). A pesar de los beneficios que ofrecen las VPNs, los usuarios no han podido aprovechar al maximo sus grandes prestaciones debido a la dificultad para acceder a las mismas y al desconocimiento de cuales son los recursos a los que tienen acceso.",PDF,es,Trabajo de Fin de Titulacion,Carrion Jumbo Jose Augusto,Gonzalez Perez Nelson Leonardo,NULL,NULL,Espinoza Velez Maria Paula,NULL,VPN Sistema,Seguridad de la informacion,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=35206.titn.
Implementacion_de_una_solucion_para_la_generacion_de_horarios_y_asignacion_de_las_salas_de_clases_modalidad_presencial_de_la_Universidad_Tecnica_Particular_de_Loja_2012,Implementacion de una solucion para la generacion de horarios y asignacion de las salas de clases modalidad presencial de la Universidad Tecnica Particular de Loja,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Montaño Paladines Julia Esperanza,Pineda Bailon Yesenia Elizabeth,NULL,NULL,Abad Espinoza Marco Patricio,NULL,UTPL,Software,Horarios,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=35207.titn.
Implementacion_de_una_solucion_para_la_generacion_de_horarios_y_asignacion_de_las_salas_de_clases_modalidad_presencial_de_la_Universidad_Tecnica_Particular_de_Loja_2012,Implementacion de una solucion para la generacion de horarios y asignacion de las salas de clases modalidad presencial de la Universidad Tecnica Particular de Loja,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Montaño Paladines Julia Esperanza,Pineda Bailon Yesenia Elizabeth,NULL,NULL,Abad Espinoza Marco Patricio,NULL,UTPL,Software,Horarios,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=35207.titn.
Implementacion_de_servicios_de_internet_sobre_IPV_para_la_UTPL_2012,Implementacion de servicios de internet sobre IPV para la UTPL,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Fernandez Ordoñez Johana Miroslava,Torres Guarnizo Diana Alexandra,NULL,NULL,Torres Tandazo Rommel Vicente,NULL,UTPL,Internet,Ingeniero en sistemas informaticos y computacion,IPV6,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=34801.titn.
Publicacion_de_datos_universitarios_enlasados_observando_los_principios_de_Linked_data_Componente_LUD_Red_social_academica_y_cientifica_de_la_UTPL_Estudiantes_docentes_investigadores_administrativos_directivos_2012,Publicacion de datos universitarios enlasados observando los principios de Linked data Componente LUD Red social academica y cientifica de la UTPL Estudiantes docentes investigadores administrativos directivos,2012,"El presente es un proyecto de fin de Titulacion, de la Universidad Tecnica Particular de Loja, llamado LINKED DATA, este pretende dar una solucion a la web actual, obteniendo informacion semantica de lo referente a Redes Sociales y Academicas de UTPL (estudiantes, docentes, investigadores, administrativos), a traves de un agente software, el cual pueda realizar procedimientos automaticos que obtenga su informacion semantica, es decir, capaz de buscar y realizar operaciones por si mismo.Para ello se utilizara tecnologias a fines a la Web Semantica, como : RDF, que es un estandar de amplio uso en la comunidad web semantica, en donde es posible compartir, y reutilizar datos y documentos entre diferentes tipos de usuarios; SPARQL nos facilita las consultas a traves del cual se obtiene la informacion requerida; JENA nos ayuda a obtener la estructura del RDF y 4STORE nos servira para almacenar datos RDF. Para finalizar con el desarrollo de una aplicacion de visualizacion, la cual nos permite realizar busquedas wQsemanticas a traves de consultas SPARQL, en un entorno amigable para el usuario.",PDF,es,Trabajo de Fin de Titulacion,Pineda Cabrera Yesenia Carolina,NULL,NULL,NULL,Piedra Pullaguari Nelson Oswaldo,NULL,Programas para computadores,Web,Linked Data,SPARQL,Recursos Educativos y Cientificos,Medico,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=66880.titn.
Web_service_para_el_calculo_de_propiedades_termodinamicas_utlizando_ecuasiones_de_estado_y_modelos_correlativos_para_compuestos_purosmezclas_binarias_y_mulcomponentes_consumidosa_traves_de_una_coloumna_de_destilacion_en_dispositivos_inteligentes_2012,Web service para el calculo de propiedades termodinamicas utlizando ecuasiones de estado y modelos correlativos para compuestos purosmezclas binarias y mulcomponentes consumidosa traves de una coloumna de destilacion en dispositivos inteligentes,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Maldonado Jimenez Freddy Yovanny,Maldonado Jimenez Jorge Enrique,Paccha Angamarca Patricio Michael,NULL,Romero Benavides Juan Carlos,NULL,Lenguaje y lenguas,Web service,Mezclas binarias,Termodinamica,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=66881.titn.
Uso_de_Ipsec_versus_SSL_para_aplicaciones_de_internet_de_la_UTPL_2012,Uso de Ipsec versus SSL para aplicaciones de internet de la UTPL,2012,"El uso del Internet como vinculo de interconexion entre aplicaciones del lado del cliente y del servidor se constituye en el medio de flujo masivo de informacion que es utilizado desde ya varios años por la Universidad Tecnica Particular de Loja (UTPL). Al ser Internet una red publica, ah permitido la creacion de diversos mecanismos para usurpar, alterar o robar la informacion especialmente la considerada sensible, pudiendo causar un gran perjuicio a los usuarios de los sistemas. La informacion que fluye por los sistemas de la UTPL es calificada como sensible porque tiene un criterio de personal y privada, cuya obtencion, manipulacion o distribucion total o parcial seria atentatoria contra los derechos mas basicos que caracterizan a toda sociedad libre.",PDF,es,Trabajo de Fin de Titulacion,Hidalgo Betancourt Ruth Yolanda,NULL,NULL,NULL,Espinoza Velez Maria Paula,NULL,Ingeniero en sistemas informaticos y computacion,Internet,NULL,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=66239.titn.
Tecnologias_de_web_semantica_orientada_al_desarrollo_de_servicios_web_2012,Tecnologias de web semantica orientada al desarrollo de servicios web,2012,"En la primera fase se aborda lo relacionado a las arquitecturas orientadas a servicios y arquitectura de servicios Web dando a conocer algunas definiciones, descripcion de los estandares que intervienen, caracteristicas, diferencias entre arquitecturas para luego enfocar como intervienen el de intercambio de mensajes que se lleva a cabo en la orquestacion y composicion de los servicios Web. .El objetivo primordial de este capitulo se centra en analizar los protocolos y las tecnologias que constituyen los estandares de los Servicios Web, arquitecturas orientadas a servicios como SOA y REST asi como las tecnologias asociadas a estos como son : SOAP, WSDL, UDDI. Para luego analizar el esquema de intercambio de mensajes que se da en la composicion y orquestacion de Servicios y como intervienen los agentes en el descubrimiento de Servicios Web.",PDF,es,Trabajo de Fin de Titulacion,Carrion Jimenez Gloria Matilde,NULL,NULL,NULL,Cueva Carrion Samanta Patricia,NULL,Web,Ciencias de los computadores,Servicios web,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=63011.titn.
Un_sistema_semiautomatico_de_diagnostico_de_situaciones_en_tareas_de_vigilancia_basado_en_tecnicas_de_Atencion_Visual_Selectiva_y_dinamica_con_capacidad_deAprendizaje_2012,Un sistema semiautomatico de diagnostico de situaciones en tareas de vigilancia basado en tecnicas de Atencion Visual Selectiva y dinamica con capacidad deAprendizaje,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Quezada Chavez Willy Duval,Valarezo Quezada Abel Gilberto,NULL,NULL,Alberca Prieto Greyson Paul,NULL,Imagenes digitales,Inteligencia artificial,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=65935.titn.
Implementacion_de_la_estrategia_Two_Phase_Commit_2PC_en_ambientes_distribuidos_2012,Implementacion de la estrategia Two Phase Commit 2PC en ambientes distribuidos,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Maldonado Mendieta Vanesa Elizabeth,Valdivieso Sotomayor Maria Belen,NULL,NULL,Sangoluiza Manolo,NULL,Sistema Administrador,Transacciones,Sistemas,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=34722.titn.
Implementacion_de_los_microformatos_Dublin_Core_a_Los_recursos_educativos_de_la_UTPL_2012,Implementacion de los microformatos Dublin Core a Los recursos educativos de la UTPL,2012,"Este trabajo de tesis abarca varias areas diferentes de estudio las cuales se complementan para formar el sistema que se desarrollo a lo largo de la tesis. Una de las areas de estudio, es la eficiente busqueda y recuperacion de informacion. Actualmente uno de los temas tecnologicos de controversia mas grande es busqueda y la interoperabilidad por Internet. Hoy en dia existe pocos sitios implementado los metadatos Dublin Core por lo que a surge la necesidad de realizar este tema para uso de los estudiantes y docentes incluso permitira compartir con todo el mundo logrando asi expandir los conocimientos que se imparten en la UTPL vi.",PDF,es,Trabajo de Fin de Titulacion,Vivanco Silva Maria Mercedes,Jimenez Samaniego Fernando Mauricio,NULL,NULL,Piedra Pullaguari Nelson Oswaldo,NULL,Microformatos Dublin core,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=34767.titn.
Manual_de_politicas_y_procedimientos_de_seguridad_informatica_para_bases_de_datos_en_pymes_2012,Manual de politicas y procedimientos de seguridad informatica para bases de datos en pymes,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Marquez Cadena Edwin Patricio,NULL,NULL,NULL,Chicaiza Espinosa Janneth Alexandra,NULL,PYMES,Base de datos,Seguridad informatica,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=47066.titn.
Organizacion_y_sistematizacion_de_informacion_y_procesos_de_la_modalidad_de_educacion_a_distancia_en_la_Universidad_Catolica_San_Pablo_Chiquitos_UCBCh_2012,Organizacion y sistematizacion de informacion y procesos de la modalidad de educacion a distancia en la Universidad Catolica San Pablo Chiquitos UCBCh,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Parra Celi Nora Esperanza,NULL,NULL,NULL,Piedra Pullaguari Nelson Oswaldo,NULL,Desarrollo de software,Ingenieria de software,Educacion a distancia,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=52627.titn.
Organizacion_e_implementacion_de_la_modalidad_de_educacion_a_distancia_en_la_Universidad_Catolica_Boliviana_San_Pablo_Chiquitos_2012,Organizacion e implementacion de la modalidad de educacion a distancia en la Universidad Catolica Boliviana San Pablo Chiquitos,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Blacio Maldonado Ricardo Patricio,Torres Pereira Gerardo Vicente,NULL,NULL,Aguilar Feijoo Ruth Marlene,NULL,Universidad Catolica Boliviana San Pablo,Universidad a distancia,Ingeniero en informatica,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=52556.titn.
Implementacion_de_un_sistema_de_gestion_y_control_de_un_despacho_juridico_2012,Implementacion de un sistema de gestion y control de un despacho juridico,2012,"La presente tesis trata sobre la implementacion de un sistema de informacion para el ambito de la gestion y control de despachos juridicos que implica el seguimiento adecuado de los procesos y tramites, administracion eficiente de las actividades relacionadas con los procesos, recuperacion y tratamiento eficiente de la informacion generada en los despachos, etc. El sistema se ha construido siguiendo una metodologia agil de desarrollo scrum, que ha permitido controlar eficientemente cada una de las actividades y ser flexible a los cambios sugeridos por el cliente. La arquitectura que se ha utilizado para desarrollar el sistema fue la arquitectura modelo-vista-controlador que ha permitido desacoplar la interfaz del usuario de la logica del negocio y el modelo de datos. La arquitectura fisica del sistema es cliente-servidor, dicha arquitectura se ejecutara en la intranet que posee el despacho. Al implementar un sistema de informacion en el ambito de la gestion y control de despachos juridicos, se ha logrado organizar, recuperar, controlar, administrar, manipular, y dar seguimiento a la informacion generada al trabajar con procesos judiciales y sus respectivas actividades.",PDF,es,Trabajo de Fin de Titulacion,Salazar Cordova Carlos Marcelo,NULL,NULL,NULL,Romero Pelaez Audrey Elizabeth,NULL,Programas para computadores,Informatica,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=35089.titn.
Realidad_virtual_inmersiva_metodologia_2012,Realidad virtual inmersiva metodologia,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Cordova Arias Gerardo Alfonso,Sotomayor Vivanco Luis Omar,NULL,NULL,Gomez AlvaradoHector Fernando,NULL,Realidad virtual,Ingeniero en informatica,NULL,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=59042.titn.
Implementacion_de_un_sistema_de_respuesta_de_servicios_de_correo_electronico_y_web_basado_en_IP_de_origen_2012,Implementacion de un sistema de respuesta de servicios de correo electronico y web basado en IP de origen,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Cumbicos Romero Fernando Benigno,NULL,NULL,NULL,Cueva Carrion Samanta Patricia,NULL,Correo electronico,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=35112.titn.
Repositorio_de_conocimiento_de_los_contenidos_publicados_en_los_blogs_UTPL_en_base_a_folksonomias_creadas_con_lenguajes_de_descripcion_semantica_2012,Repositorio de conocimiento de los contenidos publicados en los blogs UTPL en base a folksonomias creadas con lenguajes de descripcion semantica,2012,"En la Universidad Tecnica Particular de Loja, asi como en otros entes educativos genera diariamente informacion academica que en su mayoria pasa desapercibida debido a que los alumnos y docentes no estan acostumbrados a publicar sus recursos academicos en algunas plataformas Web. La desventaja de no compartir estos recursos es que no se puede acceder a importante material de estudio que podria mejorar el nivel de conocimiento entre los involucrados. Una de las principales herramientas que deberia usarse para interactuar con el conocimiento ente alumnos y docentes es el Blog multiusuario de la UTPL, el cual fue construido con esa finalidad, pero el desconocimiento por parte de los alumnos de la existencia de dicha herramienta y la falta de cultura de publicacion de contenidos educativos por parte de docentes, ha provocado la perdida de valiosa informacion.",PDF,es,Trabajo de Fin de Titulacion,Leon Quiñonez Lorena del Cisne,NULL,NULL,NULL,Cueva Carrion Samanta Patricia,NULL,Programacion Informatica,Repositorio digital,Web,Bolg multiusuario,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=59814.titn.
